data,região,à vista,30 dias
13/05/2022,Acre,254.0,256.0
13/05/2022,ES,268.0,270.0
13/05/2022,RJ,272.0,274.0
16/05/2022,SP Barretos,270.0,272.0
16/05/2022,SP Araçatuba,270.0,272.0
16/05/2022,MG Triângulo,254.0,256.0
16/05/2022,MG B.Horizonte,258.0,260.0
16/05/2022,MG Norte,269.0,271.0
16/05/2022,MG Sul,264.0,266.0
16/05/2022,GO Goiânia,261.0,263.0
16/05/2022,GO Reg. Sul,261.0,263.0
16/05/2022,MS Dourados,271.0,273.0
16/05/2022,MS C. Grande,269.0,271.0
16/05/2022,MS Três Lagoas,264.0,266.0
16/05/2022,RS Oeste**,10.35,10.45
16/05/2022,RS Pelotas**,10.15,10.25
16/05/2022,BA Sul,274.0,276.0
16/05/2022,BA Oeste,266.0,268.0
16/05/2022,MT Norte,264.0,266.0
16/05/2022,MT Sudoeste,263.0,265.0
16/05/2022,MT Cuiabá*,273.0,275.0
16/05/2022,MT Sudeste,267.0,269.0
16/05/2022,PR Noroeste,274.0,276.0
16/05/2022,SC,280.5,282.5
16/05/2022,MA Oeste,264.0,266.0
16/05/2022,Alagoas,283.5,285.5
16/05/2022,PA Marabá,266.0,268.0
16/05/2022,PA Redenção,266.0,268.0
16/05/2022,PA Paragominas,279.0,280.5
16/05/2022,RO Sudeste,248.0,250.0
16/05/2022,TO Sul,259.0,261.0
16/05/2022,TO Norte,263.0,265.0
16/05/2022,Acre,254.0,256.0
16/05/2022,ES,268.0,270.0
16/05/2022,RJ,272.0,274.0
17/05/2022,SP Barretos,270.0,272.0
17/05/2022,SP Araçatuba,270.0,272.0
17/05/2022,MG Triângulo,254.0,256.0
17/05/2022,MG B.Horizonte,258.0,260.0
17/05/2022,MG Norte,268.0,270.0
17/05/2022,MG Sul,264.0,266.0
17/05/2022,GO Goiânia,261.0,263.0
17/05/2022,GO Reg. Sul,261.0,263.0
17/05/2022,MS Dourados,271.0,273.0
17/05/2022,MS C. Grande,269.0,271.0
17/05/2022,MS Três Lagoas,264.0,266.0
17/05/2022,RS Oeste**,10.35,10.45
17/05/2022,RS Pelotas**,10.15,10.25
17/05/2022,BA Sul,274.0,276.0
17/05/2022,BA Oeste,266.0,268.0
17/05/2022,MT Norte,264.0,266.0
17/05/2022,MT Sudoeste,263.0,265.0
17/05/2022,MT Cuiabá*,273.0,275.0
17/05/2022,MT Sudeste,267.0,269.0
17/05/2022,PR Noroeste,274.0,276.0
17/05/2022,SC,280.5,282.5
17/05/2022,MA Oeste,264.0,266.0
17/05/2022,Alagoas,283.5,285.5
17/05/2022,PA Marabá,266.0,268.0
17/05/2022,PA Redenção,266.0,268.0
17/05/2022,PA Paragominas,279.0,280.5
17/05/2022,RO Sudeste,247.0,249.0
17/05/2022,TO Sul,259.0,261.0
17/05/2022,TO Norte,263.0,265.0
17/05/2022,Acre,254.0,256.0
17/05/2022,ES,268.0,270.0
17/05/2022,RJ,271.0,273.0
18/05/2022,SP Barretos,270.0,272.0
18/05/2022,SP Araçatuba,270.0,272.0
