data,região,à vista,30 dias
13/05/2022,Acre,269.0,271.0
13/05/2022,ES,277.0,279.0
13/05/2022,RJ,283.5,285.5
16/05/2022,SP Barretos,303.5,305.5
16/05/2022,SP Araçatuba,303.5,305.5
16/05/2022,MG Triângulo,282.5,284.5
16/05/2022,MG B.Horizonte,277.0,279.0
16/05/2022,MG Norte,279.0,280.5
16/05/2022,MG Sul,283.5,285.5
16/05/2022,GO Goiânia,276.0,278.0
16/05/2022,GO Reg. Sul,276.0,278.0
16/05/2022,MS Dourados,290.5,292.5
16/05/2022,MS C. Grande,286.5,288.5
16/05/2022,MS Três Lagoas,288.5,290.5
16/05/2022,RS Oeste**,11.0,11.1
16/05/2022,RS Pelotas**,11.0,11.1
16/05/2022,BA Sul,279.0,280.5
16/05/2022,BA Oeste,280.5,282.5
16/05/2022,MT Norte,279.5,281.5
16/05/2022,MT Sudoeste,279.0,280.5
16/05/2022,MT Cuiabá*,281.5,283.5
16/05/2022,MT Sudeste,279.0,280.5
16/05/2022,PR Noroeste,303.5,305.5
16/05/2022,SC,311.5,313.0
16/05/2022,MA Oeste,279.0,280.5
16/05/2022,Alagoas,295.5,297.5
16/05/2022,PA Marabá,276.0,278.0
16/05/2022,PA Redenção,276.0,278.0
16/05/2022,PA Paragominas,287.5,289.5
16/05/2022,RO Sudeste,261.0,263.0
16/05/2022,TO Sul,274.0,276.0
16/05/2022,TO Norte,279.0,280.5
16/05/2022,Acre,269.0,271.0
16/05/2022,ES,277.0,279.0
16/05/2022,RJ,283.5,285.5
17/05/2022,SP Barretos,302.5,304.5
17/05/2022,SP Araçatuba,302.5,304.5
17/05/2022,MG Triângulo,281.5,283.5
17/05/2022,MG B.Horizonte,277.0,279.0
17/05/2022,MG Norte,279.0,280.5
17/05/2022,MG Sul,282.5,284.5
17/05/2022,GO Goiânia,276.0,278.0
17/05/2022,GO Reg. Sul,276.0,278.0
17/05/2022,MS Dourados,289.5,291.5
17/05/2022,MS C. Grande,286.5,288.5
17/05/2022,MS Três Lagoas,288.5,290.5
17/05/2022,RS Oeste**,11.0,11.1
17/05/2022,RS Pelotas**,11.0,11.1
17/05/2022,BA Sul,279.0,280.5
17/05/2022,BA Oeste,280.5,282.5
17/05/2022,MT Norte,279.5,281.5
17/05/2022,MT Sudoeste,279.0,280.5
17/05/2022,MT Cuiabá*,281.5,283.5
17/05/2022,MT Sudeste,279.0,280.5
17/05/2022,PR Noroeste,302.5,304.5
17/05/2022,SC,311.5,313.0
17/05/2022,MA Oeste,279.0,280.5
17/05/2022,Alagoas,295.5,297.5
17/05/2022,PA Marabá,276.0,278.0
17/05/2022,PA Redenção,276.0,278.0
17/05/2022,PA Paragominas,287.5,289.5
17/05/2022,RO Sudeste,260.0,262.0
17/05/2022,TO Sul,274.0,276.0
17/05/2022,TO Norte,279.0,280.5
17/05/2022,Acre,269.0,271.0
17/05/2022,ES,277.0,279.0
17/05/2022,RJ,283.5,285.5
18/05/2022,SP Barretos,302.5,304.5
18/05/2022,SP Araçatuba,302.5,304.5
18/05/2022,MG Triângulo,280.5,282.5
18/05/2022,MG B.Horizonte,277.0,279.0
18/05/2022,MG Norte,277.0,279.0
18/05/2022,MG Sul,279.5,281.5
18/05/2022,GO Goiânia,276.0,278.0
18/05/2022,GO Reg. Sul,276.0,278.0
18/05/2022,MS Dourados,289.5,291.5
18/05/2022,MS C. Grande,286.5,288.5
18/05/2022,MS Três Lagoas,288.5,290.5
18/05/2022,RS Oeste**,11.0,11.1
18/05/2022,RS Pelotas**,11.0,11.1
18/05/2022,BA Sul,279.0,280.5
18/05/2022,BA Oeste,280.5,282.5
18/05/2022,MT Norte,279.5,281.5
18/05/2022,MT Sudoeste,277.0,279.0
18/05/2022,MT Cuiabá*,281.5,283.5
18/05/2022,MT Sudeste,279.0,280.5
18/05/2022,PR Noroeste,302.5,304.5
18/05/2022,SC,311.5,313.0
18/05/2022,MA Oeste,279.0,280.5
18/05/2022,Alagoas,295.5,297.5
18/05/2022,PA Marabá,274.0,276.0
18/05/2022,PA Redenção,275.0,277.0
18/05/2022,PA Paragominas,285.5,287.5
18/05/2022,RO Sudeste,260.0,262.0
18/05/2022,TO Sul,274.0,276.0
18/05/2022,TO Norte,279.0,280.5
18/05/2022,Acre,269.0,271.0
18/05/2022,ES,277.0,279.0
18/05/2022,RJ,283.5,285.5
19/05/2022,SP Barretos,301.5,303.5
19/05/2022,SP Araçatuba,301.5,303.5
19/05/2022,MG Triângulo,279.0,280.5
19/05/2022,MG B.Horizonte,277.0,279.0
19/05/2022,MG Norte,275.0,277.0
19/05/2022,MG Sul,279.5,281.5
19/05/2022,GO Goiânia,276.0,278.0
19/05/2022,GO Reg. Sul,276.0,278.0
19/05/2022,MS Dourados,288.5,290.5
19/05/2022,MS C. Grande,286.5,288.5
19/05/2022,MS Três Lagoas,288.5,290.5
19/05/2022,RS Oeste**,11.0,11.1
19/05/2022,RS Pelotas**,11.0,11.1
19/05/2022,BA Sul,279.0,280.5
19/05/2022,BA Oeste,279.5,281.5
19/05/2022,MT Norte,279.0,280.5
19/05/2022,MT Sudoeste,277.0,279.0
19/05/2022,MT Cuiabá*,281.5,283.5
19/05/2022,MT Sudeste,278.0,279.5
19/05/2022,PR Noroeste,302.5,304.5
19/05/2022,SC,311.5,313.0
19/05/2022,MA Oeste,278.0,279.5
19/05/2022,Alagoas,295.5,297.5
19/05/2022,PA Marabá,274.0,276.0
19/05/2022,PA Redenção,275.0,277.0
19/05/2022,PA Paragominas,284.5,286.5
19/05/2022,RO Sudeste,260.0,262.0
19/05/2022,TO Sul,274.0,276.0
19/05/2022,TO Norte,279.0,280.5
19/05/2022,Acre,269.0,271.0
19/05/2022,ES,277.0,279.0
19/05/2022,RJ,283.5,285.5
20/05/2022,SP Barretos,301.5,303.5
20/05/2022,SP Araçatuba,301.5,303.5
20/05/2022,MG Triângulo,279.0,280.5
20/05/2022,MG B.Horizonte,275.0,277.0
20/05/2022,MG Norte,274.0,276.0
20/05/2022,MG Sul,279.5,281.5
20/05/2022,GO Goiânia,276.0,278.0
20/05/2022,GO Reg. Sul,275.0,277.0
20/05/2022,MS Dourados,287.5,289.5
20/05/2022,MS C. Grande,286.5,288.5
20/05/2022,MS Três Lagoas,287.5,289.5
20/05/2022,RS Oeste**,11.0,11.1
20/05/2022,RS Pelotas**,11.0,11.1
20/05/2022,BA Sul,279.0,280.5
20/05/2022,BA Oeste,279.5,281.5
20/05/2022,MT Norte,278.0,279.5
20/05/2022,MT Sudoeste,277.0,279.0
20/05/2022,MT Cuiabá*,281.5,283.5
20/05/2022,MT Sudeste,278.0,279.5
20/05/2022,PR Noroeste,302.5,304.5
20/05/2022,SC,311.5,313.0
20/05/2022,MA Oeste,278.0,279.5
20/05/2022,Alagoas,295.5,297.5
20/05/2022,PA Marabá,274.0,276.0
20/05/2022,PA Redenção,274.0,276.0
20/05/2022,PA Paragominas,283.5,285.5
20/05/2022,RO Sudeste,260.0,262.0
20/05/2022,TO Sul,274.0,276.0
